test,route,run,marker,gap_id,first_unboxed_frame_0,last_unboxed_frame_0,unboxed_frames,preceding_detection_time,following_detection_time
QR_motioncap_brushless_Light_mid_NoWind_test5,MID,5,M7,18,689,690,2,1766442415.88,1766442416.32
QR_motioncap_brushless_Light_mid_NoWind_test5,MID,5,M7,19,692,692,1,1766442416.32,1766442416.61
QR_motioncap_brushless_Light_mid_NoWind_test5,MID,5,M7,20,696,696,1,1766442416.89,1766442417.18
QR_motioncap_brushless_Light_mid_NoWind_test5,MID,5,M7,21,708,711,4,1766442418.63,1766442419.34
QR_motioncap_brushless_Light_mid_NoWind_test5,MID,5,M7,22,713,714,2,1766442419.34,1766442419.78
QR_motioncap_brushless_Light_mid_NoWind_test5,MID,5,M7,23,716,719,4,1766442419.78,1766442420.49
QR_motioncap_brushless_Light_mid_NoWind_test5,MID,5,M8,1,859,859,1,1766442440.55,1766442440.83
QR_motioncap_brushless_Light_mid_NoWind_test5,MID,5,M8,2,915,915,1,1766442448.77,1766442449.06
QR_motioncap_brushless_Light_mid_NoWind_test5,MID,5,M8,3,944,945,2,1766442452.96,1766442453.39
QR_motioncap_brushless_Light_mid_NoWind_test5,MID,5,M8,4,999,999,1,1766442461.05,1766442461.33
QR_motioncap_brushless_Light_mid_NoWind_test5,MID,5,M8,5,1006,1009,4,1766442462.05,1766442462.77
QR_motioncap_brushless_Light_bot_NoWind_test1,BOT,1,M13,1,871,872,2,1766436269.55,1766436269.96
QR_motioncap_brushless_Light_bot_NoWind_test1,BOT,1,M13,2,874,875,2,1766436269.96,1766436270.4
QR_motioncap_brushless_Light_bot_NoWind_test1,BOT,1,M13,3,878,878,1,1766436270.54,1766436270.83
QR_motioncap_brushless_Light_bot_NoWind_test1,BOT,1,M13,4,896,897,2,1766436273.19,1766436273.61
QR_motioncap_brushless_Light_bot_NoWind_test1,BOT,1,M13,5,903,903,1,1766436274.19,1766436274.49
QR_motioncap_brushless_Light_bot_NoWind_test1,BOT,1,M13,6,931,932,2,1766436278.28,1766436278.71
QR_motioncap_brushless_Light_bot_NoWind_test1,BOT,1,M13,7,951,951,1,1766436281.19,1766436281.48
QR_motioncap_brushless_Light_bot_NoWind_test1,BOT,1,M13,8,963,964,2,1766436282.94,1766436283.38
QR_motioncap_brushless_Light_bot_NoWind_test1,BOT,1,M13,9,999,999,1,1766436288.34,1766436288.63
QR_motioncap_brushless_Light_bot_NoWind_test1,BOT,1,M13,10,1006,1006,1,1766436289.36,1766436289.65
QR_motioncap_brushless_Light_bot_NoWind_test1,BOT,1,M13,11,1009,1009,1,1766436289.79,1766436290.09
QR_motioncap_brushless_Light_bot_NoWind_test1,BOT,1,M13,12,1025,1025,1,1766436292.13,1766436292.42
QR_motioncap_brushless_Light_bot_NoWind_test2,BOT,2,M11,1,441,441,1,1766439949.93,1766439950.22
QR_motioncap_brushless_Light_bot_NoWind_test2,BOT,2,M11,2,450,450,1,1766439951.23,1766439951.52
QR_motioncap_brushless_Light_bot_NoWind_test2,BOT,2,M11,3,452,452,1,1766439951.52,1766439951.8
QR_motioncap_brushless_Light_bot_NoWind_test2,BOT,2,M11,4,459,459,1,1766439952.56,1766439952.82
QR_motioncap_brushless_Light_bot_NoWind_test2,BOT,2,M11,5,469,469,1,1766439953.98,1766439954.26
QR_motioncap_brushless_Light_bot_NoWind_test2,BOT,2,M11,6,475,475,1,1766439954.84,1766439955.14
QR_motioncap_brushless_Light_bot_NoWind_test2,BOT,2,M11,7,526,526,1,1766439962.36,1766439962.65
QR_motioncap_brushless_Light_bot_NoWind_test2,BOT,2,M11,8,528,529,2,1766439962.65,1766439963.08
QR_motioncap_brushless_Light_bot_NoWind_test2,BOT,2,M11,9,536,540,5,1766439963.8,1766439964.66
QR_motioncap_brushless_Light_bot_NoWind_test2,BOT,2,M11,10,578,578,1,1766439970.3,1766439970.6
QR_motioncap_brushless_Light_bot_NoWind_test2,BOT,2,M11,11,580,580,1,1766439970.6,1766439970.88
QR_motioncap_brushless_Light_bot_NoWind_test2,BOT,2,M13,1,887,888,2,1766440016.06,1766440016.48
QR_motioncap_brushless_Light_bot_NoWind_test2,BOT,2,M13,2,890,890,1,1766440016.48,1766440016.77
QR_motioncap_brushless_Light_bot_NoWind_test2,BOT,2,M13,3,898,898,1,1766440017.66,1766440017.95
QR_motioncap_brushless_Light_bot_NoWind_test2,BOT,2,M13,4,900,900,1,1766440017.95,1766440018.22
QR_motioncap_brushless_Light_bot_NoWind_test2,BOT,2,M13,5,902,902,1,1766440018.22,1766440018.51
QR_motioncap_brushless_Light_bot_NoWind_test2,BOT,2,M13,6,911,913,3,1766440019.52,1766440020.1
QR_motioncap_brushless_Light_bot_NoWind_test2,BOT,2,M13,7,915,920,6,1766440020.1,1766440021.1
QR_motioncap_brushless_Light_bot_NoWind_test2,BOT,2,M13,8,923,923,1,1766440021.25,1766440021.54
QR_motioncap_brushless_Light_bot_NoWind_test2,BOT,2,M13,9,925,925,1,1766440021.54,1766440021.84
QR_motioncap_brushless_Light_bot_NoWind_test2,BOT,2,M13,10,929,936,8,1766440022.11,1766440023.42
QR_motioncap_brushless_Light_bot_NoWind_test2,BOT,2,M13,11,944,945,2,1766440024.42,1766440024.85
QR_motioncap_brushless_Light_bot_NoWind_test2,BOT,2,M13,12,948,949,2,1766440025.0,1766440025.43
QR_motioncap_brushless_Light_bot_NoWind_test2,BOT,2,M13,13,952,952,1,1766440025.58,1766440025.86
QR_motioncap_brushless_Light_bot_NoWind_test2,BOT,2,M13,14,954,955,2,1766440025.86,1766440026.3
QR_motioncap_brushless_Light_bot_NoWind_test2,BOT,2,M13,15,961,962,2,1766440026.88,1766440027.31
QR_motioncap_brushless_Light_bot_NoWind_test2,BOT,2,M13,16,968,970,3,1766440027.89,1766440028.46
QR_motioncap_brushless_Light_bot_NoWind_test2,BOT,2,M13,17,976,977,2,1766440029.04,1766440029.47
QR_motioncap_brushless_Light_bot_NoWind_test2,BOT,2,M13,18,979,981,3,1766440029.47,1766440030.05
