shift_s,mode,route,metric,compared_mean,reference_mean,mean_difference,sd_difference,positive_flights,min_difference
-0.1,attitude_run_centered,top,kalman_pos_std_3d_cm,3.22025543072141,2.04958459624403,1.17067083447739,0.338497980191312,5,0.831550155564787
-0.1,attitude_run_centered,top,rpy_std_deg,8.97804511535484,4.88147751167864,4.0965676036762,0.981407478239622,5,2.63047917277654
-0.1,original_static,bot,vt_rmse_3d_cm,4.65830620240105,4.00677154556714,0.651534656833915,0.400559030945538,5,0.395924085449236
-0.1,original_static,bot,visual_dispersion_3d_cm,3.57098482850612,2.99382206687262,0.577162761633503,0.164545297904483,5,0.314801654244595
-0.1,original_static,bot,vk_rmse_3d_cm,3.9153631935144,3.40910082404819,0.50626236946621,0.468559471487663,5,0.137044284811771
-0.1,original_static,bot,kt_rmse_3d_cm,2.95702624665746,2.5197611782793,0.437265068378155,0.377547324051867,4,-0.00167561628803714
-0.1,original_static,bot,kalman_pos_std_3d_cm,2.75293285175137,2.33508849172856,0.417844360022814,0.418452566600671,4,-0.0797257637748103
-0.1,original_static,bot,rpy_std_deg,4.73503089755754,4.06772420095538,0.667306696602165,0.295301713295124,5,0.255244597176611
-0.1,original_static,mid,vt_rmse_3d_cm,4.31423644230236,4.29020549928891,0.0240309430134496,0.246911525775647,3,-0.305122054985915
-0.1,original_static,mid,visual_dispersion_3d_cm,3.86712386209602,4.18963823569565,-0.322514373599631,0.284674435072831,0,-0.731773828694545
-0.1,original_static,mid,vk_rmse_3d_cm,3.7532090190624,3.56885806373157,0.184350955330834,0.315112066949257,4,-0.353158244651385
-0.1,original_static,mid,kt_rmse_3d_cm,2.55479276176817,2.96580929437465,-0.411016532606486,0.36402981145164,1,-0.785113589062196
-0.1,original_static,mid,kalman_pos_std_3d_cm,2.49658784251447,2.92697263238259,-0.430384789868123,0.380240278953183,1,-0.844861812453692
-0.1,original_static,mid,rpy_std_deg,4.70935830334038,6.44849327309845,-1.73913496975806,0.892598340370175,0,-3.16545833529333
-0.1,original_static,top,vt_rmse_3d_cm,6.16678067485527,4.38410390814847,1.78267676670681,0.528884461169153,5,0.878274031907142
-0.1,original_static,top,visual_dispersion_3d_cm,5.4507944036629,3.40414047451781,2.04665392914509,0.461349648227481,5,1.40550763974135
-0.1,original_static,top,vk_rmse_3d_cm,5.41714330186444,3.62911393300879,1.78802936885566,0.726331160146764,5,0.595768849310794
-0.1,original_static,top,kt_rmse_3d_cm,3.23579409192932,2.36867793314162,0.867116158787696,0.30463114784357,5,0.57639986461511
-0.1,original_static,top,kalman_pos_std_3d_cm,3.22025543072141,2.04958459624403,1.17067083447739,0.338497980191312,5,0.831550155564787
-0.1,original_static,top,rpy_std_deg,8.97804511535484,4.88147751167864,4.0965676036762,0.981407478239622,5,2.63047917277654
-0.05,attitude_absolute,bot,vt_rmse_3d_cm,4.21320124462946,3.71116676481898,0.502034479810475,0.271694521481784,5,0.181997847962386
-0.05,attitude_absolute,bot,visual_dispersion_3d_cm,3.02015897136841,2.58479789003593,0.435361081332488,0.31960877054614,5,0.124228122767019
-0.05,attitude_absolute,bot,vk_rmse_3d_cm,3.42340830816026,3.04601110631529,0.377397201844975,0.356937364471072,5,0.0314848644465209
-0.05,attitude_absolute,bot,kt_rmse_3d_cm,2.95085627062493,2.52290481174879,0.427951458876139,0.371511953962418,4,-0.0052063997449534
-0.05,attitude_absolute,bot,kalman_pos_std_3d_cm,2.74803944326579,2.33782608872626,0.410213354539531,0.412194898385716,4,-0.0830103805124076
-0.05,attitude_absolute,bot,rpy_std_deg,4.73643482048629,4.06747515233915,0.668959668147135,0.296445741966037,5,0.25687719684812
-0.05,attitude_absolute,mid,vt_rmse_3d_cm,3.60075203284427,3.435399959807,0.165352073037268,0.351531755790738,3,-0.139101585560858
-0.05,attitude_absolute,mid,visual_dispersion_3d_cm,3.07074829586907,3.29128870833191,-0.220540412462836,0.348774315413297,1,-0.56508639729343
-0.05,attitude_absolute,mid,vk_rmse_3d_cm,3.16933188892734,2.26343992296931,0.905891965958028,0.288725443362846,5,0.714689237309557
-0.05,attitude_absolute,mid,kt_rmse_3d_cm,2.53632081293328,2.97239471939406,-0.43607390646078,0.344985230946445,1,-0.79502224531587
-0.05,attitude_absolute,mid,kalman_pos_std_3d_cm,2.47849246549504,2.93480360557206,-0.456311140077015,0.360928736040592,1,-0.8538735111409
-0.05,attitude_absolute,mid,rpy_std_deg,4.70833606693824,6.44505759039937,-1.73672152346114,0.892370213602809,0,-3.17107697367002
-0.05,attitude_absolute,top,vt_rmse_3d_cm,4.53376660360505,3.56646679645015,0.9672998071549,0.268256067727614,5,0.61927614684854
-0.05,attitude_absolute,top,visual_dispersion_3d_cm,3.64590918296628,2.13287264014443,1.51303654282185,0.328150915003241,5,1.18238974798406
-0.05,attitude_absolute,top,vk_rmse_3d_cm,3.72021560314232,2.83464210103873,0.885573502103591,0.17742505081495,5,0.76043285555887
-0.05,attitude_absolute,top,kt_rmse_3d_cm,3.23779043021226,2.35883829884582,0.878952131366442,0.308544735799786,5,0.587390503206724
